marca,modello,descrizione,immagine,prezzo
Nike,Air Max 270,Scarpa sportiva con unità Air visibile e comfort elevato,https://images.weserv.nl/?url=https://images.pexels.com/photos/1598505/pexels-photo-1598505.jpeg,149.99
Adidas,Ultraboost 22,Sneaker da running con ammortizzazione Boost reattiva,https://images.weserv.nl/?url=https://images.pexels.com/photos/2529148/pexels-photo-2529148.jpeg,179.99
Puma,RS-X Bold,Sneaker chunky dal design moderno e urbano,https://images.weserv.nl/?url=https://images.pexels.com/photos/1598507/pexels-photo-1598507.jpeg,109.99
New Balance,574 Core,Sneaker lifestyle classica per uso quotidiano,https://images.weserv.nl/?url=https://images.pexels.com/photos/19090/pexels-photo.jpg,89.99
Nike,Air Force 1,Icona streetwear in pelle bianca resistente,https://images.weserv.nl/?url=https://images.pexels.com/photos/1456706/pexels-photo-1456706.jpeg,119.99
Adidas,Stan Smith,Sneaker minimalista in pelle dal look pulito,https://images.weserv.nl/?url=https://images.pexels.com/photos/1464625/pexels-photo-1464625.jpeg,99.99
Vans,Old Skool,Scarpa skate iconica con banda laterale,https://images.weserv.nl/?url=https://images.pexels.com/photos/1598508/pexels-photo-1598508.jpeg,79.99
Converse,Chuck Taylor All Star,Sneaker alta in tela stile classico senza tempo,https://images.weserv.nl/?url=https://images.pexels.com/photos/2529157/pexels-photo-2529157.jpeg,69.99
Reebok,Classic Leather,Sneaker vintage versatile per outfit casual,https://images.weserv.nl/?url=https://images.pexels.com/photos/2529158/pexels-photo-2529158.jpeg,84.99
Asics,Gel-Kayano 30,Scarpa da running con stabilità e supporto avanzato,https://images.weserv.nl/?url=https://images.pexels.com/photos/2529160/pexels-photo-2529160.jpeg,189.99
Under Armour,Charged Assert 10,Sneaker leggera con ottimo ritorno di energia,https://images.weserv.nl/?url=https://images.pexels.com/photos/2529162/pexels-photo-2529162.jpeg,74.99
Salomon,Speedcross 6,Trail running con grip aggressivo per terreni difficili,https://images.weserv.nl/?url=https://images.pexels.com/photos/2529164/pexels-photo-2529164.jpeg,139.99
